Reference,Qty,Value,Footprint,Supply URL,Supply URL 2
TR1,1,ZMPT101K,SmartElectricityMeter:ZMPT101K,https://shopee.vn/product/81431289/28654400789?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkUzJYdkg4SUFId3huV3BOemxRSlQvQ0hFVXZFWFVHWjI2OTJYbjVqMHVLenpyL05sU1ZON2NManVDTFpIL2czME5wR2ExQzN3bEpJUXhkQWxLczJKYmc1ZS9HRDQyUWFCMDd0NjlSR3pLZ0s&gad_source=1&gad_campaignid=22502562452&gbraid=0AAAAADPpQE5Vax3rKg4amqIhV9iDFv24e&gclid=CjwKCAjwxfjGBhAUEiwAKWPwDiOZwxX9LNe2usedZKdD4slp5uhM4l3FM5YFMddeb4skMBE-fMAZDBoCdc0QAvD_BwE,
U1,1,TPS54331DR,SmartElectricityMeter:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,https://Thegioiic.com/tps54331dr-ic-dieu-chinh-giam-ap-3a-8-soic,
"U3,U5",2,TL072,SmartElectricityMeter:SOIC-8,https://www.thegioiic.com/tl072idt-ic-opamp-j-fet-amplifier-2-circuit-4-mhz-8-soic,
U4,1,0-30A,SmartElectricityMeter:ZMCT118F,https://linhkiendientu.vn/san-pham/cu%E1%BB%99n-d%C3%A2y-ct-ZMCT118F-30A-30mA,
"U6,U7",2,STM32F030F4Px,SmartElectricityMeter:TSSOP-20,https://www.thegioiic.com/stm32f030f4p6-32-bit-arm-cortex-m0-microcontroller-48mhz-16kb-flash-20-tssop,
U8,1,CH340G,SmartElectricityMeter:SOIC-16_3.9x9.9mm_P1.27mm,,
U9,1,ESP32-WROOM-32D,SmartElectricityMeter:ESP32-WROOM-32D,https://www.thegioiic.com/esp32-wroom-32d-n4-module-wifi-bluetooth-4mb-flash-2-4ghz,
U11,1,USBLC6-2SC6,SmartElectricityMeter:SOT-23-6,https://icdayroi.com/usblc6-2sc6-tvs-diode-5-25v-17v-sot23-6,
U12,1,DS3231M,SmartElectricityMeter:DS3231,https://www.thegioiic.com/ds3231sn-ic-rtc-clock-calendar-16-sop,
Y1,1,8MHz,SmartElectricityMeter:Oscillator_SMD_Diodes_FN-4Pin_7.0x5.0mm,https://www.thegioiic.com/bo-dao-dong-8mhz-cmos-7050-4-chan-smd,
Y2,1,Crystal 12M Hz,SmartElectricityMeter:Crystal_2pin_5x3.2mm,https://www.thegioiic.com/thach-anh-12mhz-5032-2-chan-smd,
U2,1,ICL7660,SmartElectricityMeter:SOIC-8,https://www.thegioiic.com/icl7660cbaz,https://icdayroi.com/icl7660aibaz
